ReservationID,Room,Course,Code,Day,StartTime,EndTime,Type,Month,Year,Date
RT00297861096694002025-08-06,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,AUGUST,2025,6
RT00297861101779002025-08-13,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,AUGUST,2025,13
RT00297861104927002025-08-20,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,AUGUST,2025,20
RT00297861107843002025-08-27,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,AUGUST,2025,27
RT00297861110739002025-09-03,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,SEPTEMBER,2025,3
RT00297861114107002025-09-10,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,SEPTEMBER,2025,10
RT00297861117441002025-09-17,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,SEPTEMBER,2025,17
RT00297861120372002025-09-24,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,SEPTEMBER,2025,24
RT00297861123102002025-10-01,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,OCTOBER,2025,1
RT00297861126130002025-10-08,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,OCTOBER,2025,8
RT00297861129662002025-10-15,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,OCTOBER,2025,15
RT00297861132669002025-10-22,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,OCTOBER,2025,22
RT00297861135802002025-10-29,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,OCTOBER,2025,29
RT00297861138231002025-11-05,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,NOVEMBER,2025,5
RT00297861141005002025-11-12,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,NOVEMBER,2025,12
RT00297861143894002025-11-19,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,NOVEMBER,2025,19
RT00297861147006002025-11-26,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,NOVEMBER,2025,26

